#{"t_start": 1743034456.1590307, "env_id": "PandaReach-v3"}
r,l,t
-50.0,50,1.97359
-50.0,50,2.063977
-50.0,50,2.140944
-50.0,50,2.211394
0.0,1,2.220412
-50.0,50,2.281209
-3.0,4,2.291239
-50.0,50,2.365575
-50.0,50,2.437333
-10.0,11,2.459719
-50.0,50,2.544475
-50.0,50,2.640264
-50.0,50,2.725615
-50.0,50,2.812975
-9.0,10,2.83402
-50.0,50,2.911194
-50.0,50,3.017488
-50.0,50,3.0958
-50.0,50,3.196316
-50.0,50,3.299397
-50.0,50,3.398325
-50.0,50,3.483085
-50.0,50,3.580411
-50.0,50,3.705005
-50.0,50,3.797326
-50.0,50,3.889768
-6.0,7,3.915352
-50.0,50,4.029237
-50.0,50,4.130447
-50.0,50,4.231644
-50.0,50,4.310009
-50.0,50,4.394351
-50.0,50,4.502683
-50.0,50,4.591079
-50.0,50,4.68576
-50.0,50,4.816551
-8.0,9,4.834275
-50.0,50,4.940308
-50.0,50,5.028762
-50.0,50,5.107432
-50.0,50,5.194142
-6.0,7,5.219608
-50.0,50,5.332143
-50.0,50,5.48008
-50.0,50,5.602413
-50.0,50,5.691405
-38.0,39,5.770602
-50.0,50,6.748678
-50.0,50,6.855439
-50.0,50,6.944361
-50.0,50,7.016091
-50.0,50,7.081222
-50.0,50,7.152903
-50.0,50,7.215333
-50.0,50,7.280951
-50.0,50,7.350033
-26.0,27,7.391638
-50.0,50,7.468557
-50.0,50,7.53871
-50.0,50,7.604138
-50.0,50,7.68303
-50.0,50,7.774724
-50.0,50,7.847997
-50.0,50,7.928917
-50.0,50,7.993153
-50.0,50,8.058423
-50.0,50,8.135385
-21.0,22,8.167616
-50.0,50,8.246497
-50.0,50,8.314503
-4.0,5,8.323497
-50.0,50,8.389328
-50.0,50,8.459279
-50.0,50,8.527752
-50.0,50,8.602388
-50.0,50,8.720707
-50.0,50,8.823271
-50.0,50,8.931278
-50.0,50,9.108655
-50.0,50,9.321105
-50.0,50,9.499343
-50.0,50,9.613304
-50.0,50,9.70982
-47.0,48,9.818631
-50.0,50,9.948376
-14.0,15,9.991574
-6.0,7,10.004367
-50.0,50,10.110188
-50.0,50,10.178914
-50.0,50,10.274382
-50.0,50,10.349866
-50.0,50,11.254429
-50.0,50,11.94488
-19.0,20,12.910697
-50.0,50,13.95116
-50.0,50,14.948523
-50.0,50,15.960384
-50.0,50,17.061102
-50.0,50,18.049408
-50.0,50,18.982629
-50.0,50,19.984561
-50.0,50,20.989649
-50.0,50,21.994948
-50.0,50,22.998044
-50.0,50,24.003893
-29.0,30,24.988237
-28.0,29,25.986956
-3.0,4,26.965318
-50.0,50,28.025014
-50.0,50,29.029586
-50.0,50,30.032183
-50.0,50,31.040853
-50.0,50,32.043226
-50.0,50,33.050886
-1.0,2,33.998175
-50.0,50,35.08098
-15.0,16,36.029759
-50.0,50,36.544946
-50.0,50,36.6112
-50.0,50,36.682007
-6.0,7,36.692911
-50.0,50,36.761821
-50.0,50,36.83962
-50.0,50,36.908937
-50.0,50,36.980542
-50.0,50,37.048074
-50.0,50,37.109328
-50.0,50,37.176952
-50.0,50,37.248878
-50.0,50,37.313044
-50.0,50,37.383868
-50.0,50,37.465811
-50.0,50,37.535371
-50.0,50,37.598963
-50.0,50,37.669589
-50.0,50,37.733897
-5.0,6,37.749147
-50.0,50,37.813668
-50.0,50,38.745802
-50.0,50,38.913538
-50.0,50,39.051857
-50.0,50,39.191466
-50.0,50,39.296123
-50.0,50,39.410197
-50.0,50,39.509381
-50.0,50,39.606312
-50.0,50,39.720539
-50.0,50,39.815034
-50.0,50,39.933307
-50.0,50,40.057835
-50.0,50,40.211937
-50.0,50,40.312839
-50.0,50,40.399097
-50.0,50,40.506128
-9.0,10,40.544941
-50.0,50,40.667631
-50.0,50,40.794264
-50.0,50,40.890349
-50.0,50,41.003075
-50.0,50,41.126325
-50.0,50,41.236842
-50.0,50,41.367977
-50.0,50,41.526287
-50.0,50,41.619989
-50.0,50,41.703479
